ID HIP TYC2 WDS RA DEC Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag dist(pc) M_V Type Lstar(Lsun) WDSsep(") WDSdmag(mags) pmRA(mas/yr) pmDEC(mas/yr)
---------------------------------
          34 |          428 |  | J00057+4549F |       1.29537 |       45.7866 |           NaN |       11.4220 |       9.95000 |       9.20000 |       8.04000 |       6.70400 |       6.09800 |       5.85300 |       11.5000 |       9.64651 | M2 |     0.0429629 |       327.900 |      -1.21000 |       870.753 |      -151.267
          35 |          436 |  |  |       1.32370 |      -67.8326 |       10.5030 |       9.56600 |       8.49000 |       7.83800 |       7.29000 |       6.44000 |       5.88500 |       5.71400 |       16.3850 |       7.41776 | K5V |      0.138847 |           NaN |           NaN |      -116.675 |      -560.436
          36 |          443 |  |  |       1.33392 |      -5.70762 |       6.52000 |       5.63900 |       4.61000 |       3.83000 |       3.57000 |       2.89000 |       2.31000 |       2.21000 |       39.4945 |       1.62732 | K1III |       27.2105 |           NaN |           NaN |      -6.54000 |       87.8500
          37 |          439 |  |  |       1.35178 |      -37.3574 |       11.0740 |       10.0220 |       8.56000 |       7.58900 |       6.43000 |       5.32800 |       4.73200 |       4.53500 |       4.34531 |       10.3699 | M2V |     0.0211745 |           NaN |           NaN |       5633.37 |      -2334.79
          38 |          460 |  |  |       1.37021 |       22.2245 |           NaN |       9.86500 |       9.13000 |       8.60000 |       8.35000 |       7.69900 |       7.32700 |       7.26400 |       47.0890 |       5.76540 | G5 |      0.461186 |           NaN |           NaN |       169.496 |      -74.2650
          39 |          462 |  |  |       1.37985 |      -9.61747 |           NaN |       7.57600 |       7.13000 |           NaN |       6.61000 |       6.26600 |       6.08200 |       6.00700 |       49.8892 |       3.63997 | F5 |       2.89963 |           NaN |           NaN |       86.0310 |      -75.5110
          40 |          473 |  | J00057+4549AB |       1.42089 |       45.8121 |       10.8600 |       9.61000 |       8.20000 |       8.30000 |       6.50000 |           NaN |           NaN |           NaN |       11.5110 |       7.89444 | K2 |      0.169881 |       6.00000 |      0.170000 |       888.615 |      -162.470
          41 |          475 |  |  |       1.42364 |       58.3133 |           NaN |       8.85600 |       8.22000 |       7.80000 |       7.52000 |       7.05600 |       6.81400 |       6.72500 |       46.9916 |       4.85990 | G0 |       1.00462 |           NaN |           NaN |       64.4540 |      -163.295
          42 |          490 |  |  |       1.46894 |      -41.7531 |           NaN |       8.10500 |       7.51000 |           NaN |       6.84000 |       6.46400 |       6.18900 |       6.11700 |       38.8457 |       4.56329 | G0V |       1.30097 |           NaN |           NaN |       97.7460 |      -76.4240
          43 |          493 |  |  |       1.47812 |       18.2350 |       8.05000 |       8.04600 |       7.45000 |       7.10000 |       6.78000 |       6.33200 |       6.08000 |       6.03400 |       37.4289 |       4.58396 | F8 |       1.27716 |           NaN |           NaN |      -150.936 |      -147.985
          44 |          495 |  | J00059+1805AB |       1.48113 |       18.0759 |           NaN |       9.50000 |       8.58000 |           NaN |       7.62000 |           NaN |           NaN |           NaN |       37.6832 |       5.69926 | K0... |      0.560486 |       3.40000 |      0.330000 |      -147.614 |      -145.798
          45 |          518 |  | J00063+5826AB |       1.56589 |       58.4367 |           NaN |       6.66700 |       5.98000 |       6.00000 |       5.24000 |       4.87000 |       4.42000 |       4.33000 |       20.9203 |       4.37716 | G5V |       1.60010 |       1.60000 |      0.900000 |       237.890 |       36.6930
          46 |          522 |  | J00063-4905AB |       1.57990 |      -49.0752 |           NaN |       6.21900 |       5.70000 |           NaN |       5.12000 |           NaN |           NaN |           NaN |       26.2051 |       3.60807 | G1IV... |       3.05122 |       4.10000 |       5.80000 |       575.030 |      -40.6900
          47 |          523 |  |  |       1.57992 |      -65.8405 |       14.9460 |       13.7200 |       12.1700 |       11.1060 |       9.73000 |       8.47900 |       7.83900 |       7.63100 |       17.4386 |       10.9624 | M4 |     0.0209415 |           NaN |           NaN |       197.074 |      -549.216
          48 |          544 |  | J00066+2901A |       1.65327 |       29.0215 |           NaN |       6.82200 |       6.07000 |       5.60000 |       5.27000 |       4.73300 |       4.62900 |       4.31400 |       13.7786 |       5.37398 | K0V |      0.668409 |       192.900 |       4.19000 |       380.092 |      -177.573
          49 |          560 |  |  |       1.70869 |      -23.1075 |           NaN |       6.57600 |       6.19000 |           NaN |       5.74000 |       5.45100 |       5.33100 |       5.24000 |       39.9602 |       3.18186 | F2IV |       4.36865 |           NaN |           NaN |       96.7760 |      -47.1210
          50 |          570 |  | J00069-3036B |       1.73081 |      -30.6085 |           NaN |           NaN |       12.2100 |           NaN |           NaN |       10.6510 |       10.3210 |       10.2220 |       34.5423 |       9.51824 | ? |          -NaN |       19.8000 |      -1.69000 |       43.7700 |      -5.85000
          51 |          606 |  |  |       1.84393 |      -25.3566 |           NaN |       7.52300 |       7.06000 |           NaN |       6.53000 |       6.17900 |       5.97500 |       5.91500 |       49.6796 |       3.57911 | F5V |       3.07536 |           NaN |           NaN |       210.826 |      -134.605
          52 |          616 |  |  |       1.88559 |      -23.8187 |           NaN |       9.49800 |       8.70000 |           NaN |       7.86000 |       7.21200 |       6.82500 |       6.68500 |       32.7183 |       6.12604 | K0V |      0.346066 |           NaN |           NaN |       320.793 |       91.2190
          53 |          641 |  |  |       1.96702 |       55.5770 |           NaN |       8.43000 |       7.82000 |       7.40000 |       7.14000 |       6.72400 |       6.47300 |       6.41900 |       48.9335 |       4.37197 | G0 |       1.56446 |           NaN |           NaN |       203.254 |       9.67900
          54 |          669 |  |  |       2.06818 |      -14.8245 |           NaN |       7.66400 |       7.04000 |           NaN |       6.35000 |       5.94700 |       5.62800 |       5.55600 |       27.3467 |       4.85548 | G2/G3V |       1.00674 |           NaN |           NaN |      -14.5500 |      -11.0880
          55 |          677 |  | J00084+2905Aa,Ab |       2.09691 |       29.0904 |       1.48000 |       2.03200 |       2.07000 |       2.09000 |       2.17000 |       2.30000 |       2.33000 |       2.37000 |       29.7442 |     -0.297011 | B9p |       144.160 |       0.00000 |       1.99000 |       137.460 |      -163.440
          56 |          682 |  |  |       2.10727 |       6.61681 |           NaN |       8.21600 |       7.59000 |           NaN |       6.90000 |       6.42200 |       6.14900 |       6.11600 |       38.5230 |       4.66140 | G2V |       1.20432 |           NaN |           NaN |       87.3780 |      -1.73900
          57 |          687 |  |  |       2.11367 |       17.4243 |       13.4630 |       12.1900 |       10.7300 |       9.82900 |       8.88000 |       7.80700 |       7.16500 |       6.98000 |       21.7386 |       9.04384 | M0 |     0.0712399 |           NaN |           NaN |      -92.7310 |      -65.9130
          58 |          699 |  |  |       2.17058 |       36.6271 |           NaN |       6.71400 |       6.21000 |       5.90000 |       5.63000 |       8.35000 |       8.72000 |       12.3600 |       32.5999 |       3.64392 | F8IV |       2.93359 |           NaN |           NaN |      -114.069 |      -124.300
          59 |          723 |  |  |       2.23847 |       66.4567 |           NaN |       9.45500 |       8.57000 |       8.10000 |       7.68000 |       7.02700 |       6.61600 |       6.51800 |       36.4000 |       5.76449 | G5 |      0.514191 |           NaN |           NaN |       177.747 |       4.36900
          60 |          731 |  | J00090+2738A |       2.26207 |       27.6516 |           NaN |       12.9100 |       11.6500 |       11.0000 |       10.2200 |       9.41900 |       8.77700 |       8.66200 |       42.4809 |       8.50903 | M1 |     0.0698894 |       68.7000 |       1.83000 |       224.150 |       145.080
          61 |          738 |  |  |       2.26817 |      -27.1221 |       14.3320 |       13.2230 |       11.7300 |       10.7290 |       9.83000 |       8.65500 |       8.14300 |       7.85600 |       23.7425 |       9.85236 | M0V |     0.0397101 |           NaN |           NaN |       692.255 |       90.1420
          62 |          746 |  | J00092+5909A |       2.29452 |       59.1498 |       2.73000 |       2.66000 |       2.28000 |       1.97000 |       1.88000 |       1.63000 |       1.43000 |       1.44000 |       16.7842 |       1.15550 | F2III-IV |       28.1343 |       66.1000 |       10.1500 |       523.500 |      -179.770
          63 |          754 |  | J00093+2517A |       2.31561 |       25.2820 |           NaN |       8.46000 |       7.78000 |       7.50000 |       7.04000 |       6.49000 |       6.16100 |       6.09700 |       40.1768 |       4.76012 | G0 |       1.12189 |       29.5000 |       3.69000 |       175.348 |      -158.970
          64 |          765 |  |  |       2.35267 |      -45.7474 |       5.73000 |       4.89300 |       3.88000 |       3.11000 |       2.88000 |       2.18200 |       1.67500 |       1.56100 |       41.3252 |      0.798924 | K0III |       57.2799 |           NaN |           NaN |       120.935 |      -180.438
          65 |          787 |  |  |       2.43271 |      -31.8255 |           NaN |       10.4950 |       9.53000 |           NaN |       8.52000 |       7.66600 |       7.17700 |       7.05100 |       44.2719 |       6.29936 | K1/K2V |      0.339578 |           NaN |           NaN |       404.733 |      -233.688
          66 |          897 |  |  |       2.76921 |      -5.78397 |       13.5340 |       12.2780 |       10.8600 |       10.4070 |       9.14000 |       7.97600 |       7.31400 |       7.11900 |       24.2657 |       8.93503 | M2 |     0.0672956 |           NaN |           NaN |       255.868 |       8.36800
