Occ, a_min, a_mid, a_max, M_min, M_mid, M_max 
1.7e-05,0.06,0.061893650810810504,0.0638470668448424,47.06548051112691,49.72542078128044,52.535689533454075
1.5e-05,0.06,0.061893650810810504,0.0638470668448424,52.535689533454075,55.504782692447314,58.641676336502556
1.4e-05,0.06,0.061893650810810504,0.0638470668448424,58.641676336502556,61.955853833530256,65.45733451095779
9e-06,0.06,0.061893650810810504,0.0638470668448424,65.45733451095779,69.15670394587609,73.06514596705614
1.1e-05,0.06,0.061893650810810504,0.0638470668448424,73.06514596705614,77.19447646558302,81.55717911632256
1.1e-05,0.06,0.061893650810810504,0.0638470668448424,81.55717911632256,86.16644311821332,91.03620306747894
1.4e-05,0.06,0.061893650810810504,0.0638470668448424,91.03620306747894,96.18118108430411,101.61693132033079
7e-06,0.06,0.061893650810810504,0.0638470668448424,101.61693132033079,107.35988698152859,113.42741000859688
9e-06,0.06,0.061893650810810504,0.0638470668448424,113.42741000859688,119.83784356509167,126.61056749195744
9e-06,0.06,0.061893650810810504,0.0638470668448424,126.61056749195744,133.76605689611287,141.32594405021308
8e-06,0.06,0.061893650810810504,0.0638470668448424,141.32594405021308,149.31308379072314,157.7516226120118
8e-06,0.06,0.061893650810810504,0.0638470668448424,157.7516226120118,166.66707166534817,176.08638388349098
6e-06,0.06,0.061893650810810504,0.0638470668448424,176.08638388349098,186.0380354640305,196.55211195782155
6e-06,0.06,0.061893650810810504,0.0638470668448424,196.55211195782155,207.66039922276806,219.39647951792662
9e-06,0.06,0.061893650810810504,0.0638470668448424,219.39647951792662,231.79583302844003,244.8959451282275
1e-06,0.06,0.061893650810810504,0.0638470668448424,244.8959451282275,258.73641970470345,273.35909888812694
8e-06,0.06,0.061893650810810504,0.0638470668448424,273.35909888812694,288.8081895475435,305.13039693573796
5e-06,0.06,0.061893650810810504,0.0638470668448424,305.13039693573796,322.37506588723016,340.5943299961796
8e-06,0.06,0.061893650810810504,0.0638470668448424,340.5943299961796,359.843269225189,380.18007642148444
7e-06,0.06,0.061893650810810504,0.0638470668448424,380.18007642148444,401.66623324388144,424.3666960323934
4e-06,0.06,0.061893650810810504,0.0638470668448424,424.3666960323934,448.35009218239543,473.6889276170203
4e-06,0.06,0.061893650810810504,0.0638470668448424,473.6889276170203,500.45980598500944,528.7436602466912
4e-06,0.06,0.061893650810810504,0.0638470668448424,528.7436602466912,558.6259973482117,590.1971567237096
2e-06,0.06,0.061893650810810504,0.0638470668448424,590.1971567237096,623.5525834069318,658.7931165779523
1e-06,0.06,0.061893650810810504,0.0638470668448424,658.7931165779523,696.0252944173212,735.3616761892738
2e-06,0.06,0.061893650810810504,0.0638470668448424,735.3616761892738,776.9211825277038,820.8294549536521
3e-06,0.06,0.061893650810810504,0.0638470668448424,820.8294549536521,867.2192357111913,916.2307690700113
1e-06,0.06,0.061893650810810504,0.0638470668448424,916.2307690700113,968.0122253079195,1022.7201486550255
2e-06,0.06,0.061893650810810504,0.0638470668448424,1022.7201486550255,1080.5199305538154,1141.5863096658716
3e-06,0.06,0.061893650810810504,0.0638470668448424,1141.5863096658716,1206.1039001368388,1274.2677497166753
1e-06,0.06,0.061893650810810504,0.0638470668448424,1274.2677497166753,1346.2839294224782,1422.370156526539
3e-06,0.06,0.061893650810810504,0.0638470668448424,1422.370156526539,1502.7564527530292,1587.68583967315
2e-06,0.06,0.061893650810810504,0.0638470668448424,1587.68583967315,1677.4150734010555,1772.2154208116622
0.0,0.06,0.061893650810810504,0.0638470668448424,1772.2154208116622,1872.373479626966,1978.1920448501505
0.0,0.06,0.061893650810810504,0.0638470668448424,1978.1920448501505,2089.991024166855,2208.1084050810155
